"kf_id","kf_genre","kf_start_of_week","kf_keyword","kf_sentiment","kf_frequency","kf_post_continent","kf_genre_code","kf_post_continent_code"
"641574","variety","2025-08-18","hyunjin","-1","0","South America","3","4"
"641575","variety","2025-08-18","hyunjin","-1","0","Southeast Asia","3","2"
"641576","variety","2025-08-18","hyunjin","0","0","East Asia","3","1"
"641577","variety","2025-08-18","hyunjin","0","0","Europe","3","5"
"641578","variety","2025-08-18","hyunjin","0","0","Middle East","3","6"
"641579","variety","2025-08-18","hyunjin","0","0","South America","3","4"
"641580","variety","2025-08-18","hyunjin","0","0","Southeast Asia","3","2"
"641581","variety","2025-08-18","hyunjin","1","0","East Asia","3","1"
"641582","variety","2025-08-18","hyunjin","1","0","Europe","3","5"
"641583","variety","2025-08-18","hyunjin","1","0","Middle East","3","6"
"641584","variety","2025-08-18","hyunjin","1","0","North America","3","3"
"641585","variety","2025-08-18","hyunjin","1","0","South America","3","4"
"641586","variety","2025-08-18","hyunjin","1","0","Southeast Asia","3","2"
"641587","variety","2025-08-18","jisoo","-1","0","East Asia","3","1"
"641588","variety","2025-08-18","jisoo","-1","0","Europe","3","5"
"641589","variety","2025-08-18","jisoo","-1","0","Middle East","3","6"
"641590","variety","2025-08-18","jisoo","-1","0","South America","3","4"
"641591","variety","2025-08-18","jisoo","-1","0","Southeast Asia","3","2"
"641592","variety","2025-08-18","jisoo","0","0","East Asia","3","1"
"641593","variety","2025-08-18","jisoo","0","0","Europe","3","5"
"641594","variety","2025-08-18","jisoo","0","0","Middle East","3","6"
"641595","variety","2025-08-18","jisoo","0","0","South America","3","4"
"641596","variety","2025-08-18","jisoo","0","0","Southeast Asia","3","2"
"641597","variety","2025-08-18","jisoo","1","0","East Asia","3","1"
"641598","variety","2025-08-18","jisoo","1","0","Europe","3","5"
"641599","variety","2025-08-18","jisoo","1","0","Middle East","3","6"
"641600","variety","2025-08-18","jisoo","1","0","South America","3","4"
"641601","variety","2025-08-18","jisoo","1","0","Southeast Asia","3","2"
"641602","variety","2025-08-18","jungkook","-1","0","East Asia","3","1"
"641603","variety","2025-08-18","jungkook","-1","0","Europe","3","5"
"641604","variety","2025-08-18","jungkook","-1","0","Middle East","3","6"
"641605","variety","2025-08-18","jungkook","-1","0","North America","3","3"
"641606","variety","2025-08-18","jungkook","-1","0","South America","3","4"
"641607","variety","2025-08-18","jungkook","-1","0","Southeast Asia","3","2"
"641608","variety","2025-08-18","jungkook","0","0","East Asia","3","1"
"641609","variety","2025-08-18","jungkook","0","0","Europe","3","5"
"641610","variety","2025-08-18","jungkook","0","0","Middle East","3","6"
"641611","variety","2025-08-18","jungkook","0","0","North America","3","3"
"641612","variety","2025-08-18","jungkook","0","0","South America","3","4"
"641613","variety","2025-08-18","jungkook","0","0","Southeast Asia","3","2"
"641614","variety","2025-08-18","jungkook","1","0","East Asia","3","1"
"641615","variety","2025-08-18","jungkook","1","0","Europe","3","5"
"641616","variety","2025-08-18","jungkook","1","0","Middle East","3","6"
"641617","variety","2025-08-18","jungkook","1","0","South America","3","4"
"641618","variety","2025-08-18","jungkook","1","0","Southeast Asia","3","2"
"641619","variety","2025-08-18","karina","-1","0","East Asia","3","1"
"641620","variety","2025-08-18","karina","-1","0","Europe","3","5"
"641621","variety","2025-08-18","karina","-1","0","Middle East","3","6"
"641622","variety","2025-08-18","karina","-1","0","North America","3","3"
"641623","variety","2025-08-18","karina","-1","0","South America","3","4"
"641624","variety","2025-08-18","karina","-1","0","Southeast Asia","3","2"
"641625","variety","2025-08-18","karina","0","0","East Asia","3","1"
"641626","variety","2025-08-18","karina","0","0","Europe","3","5"
"641627","variety","2025-08-18","karina","0","0","Middle East","3","6"
"641628","variety","2025-08-18","karina","0","0","South America","3","4"
"641629","variety","2025-08-18","karina","0","0","Southeast Asia","3","2"
"641630","variety","2025-08-18","karina","1","0","East Asia","3","1"
"641631","variety","2025-08-18","karina","1","0","Europe","3","5"
"641632","variety","2025-08-18","karina","1","0","Middle East","3","6"
"641633","variety","2025-08-18","karina","1","0","North America","3","3"
"641634","variety","2025-08-18","karina","1","0","South America","3","4"
"641635","variety","2025-08-18","karina","1","0","Southeast Asia","3","2"
"641636","variety","2025-08-18","katseye","-1","0","East Asia","3","1"
"641637","variety","2025-08-18","katseye","-1","0","Europe","3","5"
"641638","variety","2025-08-18","katseye","-1","0","Middle East","3","6"
"641639","variety","2025-08-18","katseye","-1","0","South America","3","4"
"641640","variety","2025-08-18","katseye","-1","0","Southeast Asia","3","2"
"641641","variety","2025-08-18","katseye","0","0","East Asia","3","1"
"641642","variety","2025-08-18","katseye","0","0","Europe","3","5"
"641643","variety","2025-08-18","katseye","0","0","Middle East","3","6"
"641644","variety","2025-08-18","katseye","0","0","South America","3","4"
"641645","variety","2025-08-18","katseye","0","0","Southeast Asia","3","2"
"641646","variety","2025-08-18","katseye","1","0","East Asia","3","1"
"641647","variety","2025-08-18","katseye","1","0","Europe","3","5"
"641648","variety","2025-08-18","katseye","1","0","Middle East","3","6"
"641649","variety","2025-08-18","katseye","1","0","South America","3","4"
"641650","variety","2025-08-18","katseye","1","0","Southeast Asia","3","2"
"641651","variety","2025-08-18","kim jong min","-1","0","East Asia","3","1"
"641652","variety","2025-08-18","kim jong min","-1","0","Europe","3","5"
"641653","variety","2025-08-18","kim jong min","-1","0","Middle East","3","6"
"641654","variety","2025-08-18","kim jong min","-1","0","North America","3","3"
"641655","variety","2025-08-18","kim jong min","-1","0","South America","3","4"
"641656","variety","2025-08-18","kim jong min","-1","0","Southeast Asia","3","2"
"641657","variety","2025-08-18","kim jong min","0","0","East Asia","3","1"
"641658","variety","2025-08-18","kim jong min","0","0","Europe","3","5"
"641659","variety","2025-08-18","kim jong min","0","0","Middle East","3","6"
"641660","variety","2025-08-18","kim jong min","0","0","South America","3","4"
"641661","variety","2025-08-18","kim jong min","0","0","Southeast Asia","3","2"
"641662","variety","2025-08-18","kim jong min","1","0","East Asia","3","1"
"641663","variety","2025-08-18","kim jong min","1","0","Europe","3","5"
"641664","variety","2025-08-18","kim jong min","1","0","Middle East","3","6"
"641665","variety","2025-08-18","kim jong min","1","0","South America","3","4"
"641666","variety","2025-08-18","kim jong min","1","0","Southeast Asia","3","2"
"641667","variety","2025-08-18","kiss of life","-1","0","East Asia","3","1"
"641668","variety","2025-08-18","kiss of life","-1","0","Europe","3","5"
"641669","variety","2025-08-18","kiss of life","-1","0","Middle East","3","6"
"641670","variety","2025-08-18","kiss of life","-1","0","South America","3","4"
"641671","variety","2025-08-18","kiss of life","-1","0","Southeast Asia","3","2"
"641672","variety","2025-08-18","kiss of life","0","0","East Asia","3","1"
"641673","variety","2025-08-18","kiss of life","0","0","Europe","3","5"
"641674","variety","2025-08-18","kiss of life","0","0","Middle East","3","6"
"641675","variety","2025-08-18","kiss of life","0","0","North America","3","3"
"641676","variety","2025-08-18","kiss of life","0","0","South America","3","4"
"641677","variety","2025-08-18","kiss of life","0","0","Southeast Asia","3","2"
"641678","variety","2025-08-18","kiss of life","1","0","East Asia","3","1"
"641679","variety","2025-08-18","kiss of life","1","0","Europe","3","5"
"641680","variety","2025-08-18","kiss of life","1","0","Middle East","3","6"
"641681","variety","2025-08-18","kiss of life","1","0","North America","3","3"
"641682","variety","2025-08-18","kiss of life","1","0","South America","3","4"
"641683","variety","2025-08-18","kiss of life","1","0","Southeast Asia","3","2"
"641684","variety","2025-08-18","lee dong wook","-1","0","East Asia","3","1"
"641685","variety","2025-08-18","lee dong wook","-1","0","Europe","3","5"
"641686","variety","2025-08-18","lee dong wook","-1","0","Middle East","3","6"
"641687","variety","2025-08-18","lee dong wook","-1","0","North America","3","3"
"641688","variety","2025-08-18","lee dong wook","-1","0","South America","3","4"
"641689","variety","2025-08-18","lee dong wook","-1","0","Southeast Asia","3","2"
"641690","variety","2025-08-18","lee dong wook","0","0","East Asia","3","1"
"641691","variety","2025-08-18","lee dong wook","0","0","Europe","3","5"
"641692","variety","2025-08-18","lee dong wook","0","0","Middle East","3","6"
"641693","variety","2025-08-18","lee dong wook","0","0","South America","3","4"
"641694","variety","2025-08-18","lee dong wook","0","0","Southeast Asia","3","2"
"641695","variety","2025-08-18","lee dong wook","1","0","East Asia","3","1"
"641696","variety","2025-08-18","lee dong wook","1","0","Europe","3","5"
"641697","variety","2025-08-18","lee dong wook","1","0","Middle East","3","6"
